id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum
4,106953.125,256623.671875,307340.0,294320.84375,-87199.2578125,-65000.0507812,147360.109375,44329.8046875,194701.875,85347.15625
7,200739.4375,342127.34375,377365.34375,172938.046875,-199239.890625,73535.3125,202069.859375,-178693.546875,-256974.484375,-72004.6796875
9,153773.40625,482853.09375,143300.703125,277964.0,-25890.6054688,478.346679688,264646.03125,-58554.3359375,127837.265625,-89616.9296875
12,-7469.9453125,295172.96875,244251.96875,145635.25,69860.03125,-49463.6210938,396703.28125,43887.5625,-143980.4375,-11430.5449219
13,-34244.7265625,501231.6875,185450.90625,149389.0625,-134331.40625,-213665.28125,97468.1796875,-278221.375,-56735.1054688,220951.859375
16,28244.7539062,230511.484375,184056.25,327690.125,-109993.703125,-150607.875,397044.65625,91279.8828125,44422.8945312,-3841.95068359
19,-48118.0625,207915.890625,217925.71875,302820.0,-87140.359375,-130170.015625,292467.53125,291685.1875,72618.640625,202742.890625
23,-55659.4921875,-38222.2851562,258431.0625,47917.640625,-26508.1035156,-74680.6875,12432.4980469,112643.382812,-111763.882812,123978.828125
24,103064.234375,352269.875,313015.125,121738.445312,-67248.9921875,-101163.015625,191976.84375,-18751.3144531,-15130.3876953,-52582.9648438
28,-85746.125,255958.578125,276411.3125,159403.640625,-58333.1953125,-40399.4492188,224123.96875,97831.7265625,283500.375,-49548.3085938
33,109974.820312,166117.5625,237090.015625,163655.140625,-169248.734375,25001.4394531,172668.921875,-84645.734375,-5790.04394531,37788.3554688
36,-43160.859375,221957.765625,179195.859375,157300.609375,-173074.40625,-109527.140625,293628.40625,7269.44140625,-35316.9179688,229201.40625
39,148007.78125,514946.46875,235768.953125,-134412.1875,321384.53125,-81612.59375,233733.546875,34044.1875,53640.9570312,199236.96875
41,-34188.4570312,334636.28125,219895.15625,352583.46875,-84013.9296875,-155511.484375,248606.296875,135057.421875,272620.40625,107044.59375
44,55606.4492188,400836.5,241264.84375,144122.921875,-182021.6875,-139450.34375,345190.75,-117971.945312,-115146.203125,221746.796875
46,-10066.4580078,398398.0625,121177.34375,73790.2265625,-65715.203125,-266168.09375,60590.734375,-59427.4648438,-62763.0742188,104841.609375
47,-61512.9960938,386286.59375,8011.89404297,250644.703125,-24986.9960938,-124667.875,180862.203125,74990.4609375,-52937.7304688,57211.4179688
51,117973.09375,474611.375,243548.40625,25446.90625,-81167.6484375,-149283.328125,123658.523438,-124054.726562,-131136.546875,126254.234375
52,313372.78125,170649.921875,312256.875,191941.765625,-116865.40625,45241.5820312,182505.09375,-49007.46875,-27716.4824219,-140654.390625
53,-283240.3125,42748.296875,29542.9960938,-16360.0585938,314689.1875,210037.484375,57772.203125,-220681.25,64696.9257812,261679.875
57,217233.703125,398432.25,390573.96875,-27584.2421875,-13112.1982422,-96627.5625,231004.640625,10521.2226562,138976.453125,171187.734375
59,-31870.3066406,458161.4375,102175.15625,147523.4375,120766.554688,-116414.671875,205660.703125,-59331.4453125,-89961.703125,213313.640625
62,208513.390625,305006.09375,314043.21875,15469.6875,-39962.2265625,-139984.59375,254285.609375,-49590.1367188,-117601.484375,4057.00634766
65,231347.59375,162975.421875,294241.46875,66415.40625,-139815.296875,-181836.71875,190001.296875,158207.4375,-27317.2011719,41520.4726562
68,231190.6875,516258.1875,126059.71875,39028.15625,-22847.328125,29506.6269531,152903.703125,-101731.382812,7934.36230469,8064.51806641
70,137580.1875,309697.5,561121.125,100965.460938,117667.601562,-155954.0625,237663.65625,13527.1347656,-88712.265625,69863.9375
74,237155.453125,404829.21875,362217.875,20594.3945312,-65834.59375,-249988.296875,93297.2421875,123525.851562,-34410.4960938,177348.96875
77,37972.6523438,207544.515625,398353.875,276193.125,61193.4492188,51895.7382812,80722.28125,-73730.5390625,-100470.046875,88794.859375
79,87831.7421875,-80038.0625,447840.84375,-51585.8398438,116344.726562,187831.421875,417323.53125,93955.453125,-172766.296875,10204.3300781
86,-154852.796875,167124.28125,395958.6875,-44721.1953125,146626.015625,-22067.4511719,281148.5625,28560.3730469,-176871.078125,99253.8203125
89,70169.296875,245454.609375,437687.875,290142.3125,-26409.6445312,21044.9003906,163034.859375,-225428.46875,-91229.640625,79969.3046875
90,41722.2460938,225289.609375,215112.40625,292826.9375,-106103.554688,-83746.71875,218536.515625,67239.234375,-22852.6699219,-74978.953125
91,88396.203125,602590.8125,184638.875,-52533.1796875,62520.0976562,-169171.25,234353.71875,-101218.507812,-97195.984375,76065.28125
93,273422.6875,223700.78125,368790.3125,117269.375,-235448.03125,54097.0273438,211860.140625,-118062.226562,-122542.1875,-86924.5390625
94,-142281.453125,316618.28125,118812.453125,57490.7226562,223217.921875,-145994.8125,164243.171875,87361.5390625,66602.40625,340565.96875
95,207335.296875,397878.53125,141080.578125,160561.28125,-148306.703125,-164462.703125,249259.5,-56917.5664062,116942.921875,68121.734375
96,-65940.84375,405467.96875,85097.125,306326.375,-147995.359375,-225312.515625,205746.078125,2100.13476562,44126.8632812,108323.101562
97,-11401.2363281,371418.6875,178102.828125,190442.640625,-55163.75,-25118.4433594,190030.03125,-203.814407349,-27200.8261719,45348.1445312
98,469475.0625,338481.125,177892.03125,291679.5625,-53615.46875,-132149.6875,317753.96875,-113349.84375,22127.2675781,-12576.3417969
99,524548.375,304404.9375,380295.6875,112676.539062,-309182.03125,33344.8789062,167116.109375,-118988.84375,-50264.3867188,91917.765625
102,-197157.21875,241753.328125,243798.375,177984.875,11133.9423828,-33392.9492188,69810.28125,120661.632812,165851.515625,44294.5976562
104,127116.179688,237294.734375,330532.625,13794.1210938,140311.015625,-158010.546875,282792.40625,-9378.50488281,-179692.328125,36915.6210938
105,16069.5761719,307650.6875,158346.78125,179020.609375,-8374.30761719,-110138.90625,120267.359375,-22146.6660156,357360.3125,117824.421875
110,25460.1269531,126481.84375,380292.59375,22194.59375,-105831.125,22429.578125,178648.375,140825.40625,292636.6875,355137.125
111,-245415.953125,3886.06713867,-6881.48095703,-81746.0234375,412112.25,116547.234375,155183.234375,-126760.546875,88186.703125,166657.15625
112,11030.4628906,189205.765625,289374.15625,-90941.953125,166485.671875,-83996.453125,197197.203125,151735.4375,-156590.390625,117675.328125
