,id,image,species
0,1,./data/standardized_images/1.jpg,Acer_Opalus
1,2,./data/standardized_images/2.jpg,Pterocarya_Stenoptera
2,3,./data/standardized_images/3.jpg,Quercus_Hartwissiana
3,5,./data/standardized_images/5.jpg,Tilia_Tomentosa
4,6,./data/standardized_images/6.jpg,Quercus_Variabilis
5,8,./data/standardized_images/8.jpg,Magnolia_Salicifolia
6,10,./data/standardized_images/10.jpg,Quercus_Canariensis
7,11,./data/standardized_images/11.jpg,Quercus_Rubra
8,14,./data/standardized_images/14.jpg,Quercus_Brantii
9,15,./data/standardized_images/15.jpg,Salix_Fragilis
10,17,./data/standardized_images/17.jpg,Zelkova_Serrata
11,18,./data/standardized_images/18.jpg,Betula_Austrosinensis
12,20,./data/standardized_images/20.jpg,Quercus_Pontica
13,21,./data/standardized_images/21.jpg,Quercus_Afares
14,22,./data/standardized_images/22.jpg,Quercus_Coccifera
15,25,./data/standardized_images/25.jpg,Fagus_Sylvatica
16,26,./data/standardized_images/26.jpg,Phildelphus
17,27,./data/standardized_images/27.jpg,Acer_Palmatum
18,29,./data/standardized_images/29.jpg,Quercus_Pubescens
19,30,./data/standardized_images/30.jpg,Populus_Adenopoda
20,31,./data/standardized_images/31.jpg,Quercus_Trojana
21,32,./data/standardized_images/32.jpg,Quercus_Variabilis
22,34,./data/standardized_images/34.jpg,Alnus_Sieboldiana
23,35,./data/standardized_images/35.jpg,Quercus_Ilex
24,37,./data/standardized_images/37.jpg,Arundinaria_Simonii
25,38,./data/standardized_images/38.jpg,Acer_Platanoids
26,40,./data/standardized_images/40.jpg,Quercus_Phillyraeoides
27,42,./data/standardized_images/42.jpg,Cornus_Chinensis
28,43,./data/standardized_images/43.jpg,Quercus_Phillyraeoides
29,45,./data/standardized_images/45.jpg,Fagus_Sylvatica
30,48,./data/standardized_images/48.jpg,Liriodendron_Tulipifera
31,49,./data/standardized_images/49.jpg,Cytisus_Battandieri
32,50,./data/standardized_images/50.jpg,Tilia_Tomentosa
33,54,./data/standardized_images/54.jpg,Rhododendron_x_Russellianum
34,55,./data/standardized_images/55.jpg,Alnus_Rubra
35,56,./data/standardized_images/56.jpg,Eucalyptus_Glaucescens
36,58,./data/standardized_images/58.jpg,Cercis_Siliquastrum
37,60,./data/standardized_images/60.jpg,Cotinus_Coggygria
38,61,./data/standardized_images/61.jpg,Celtis_Koraiensis
39,63,./data/standardized_images/63.jpg,Quercus_Crassifolia
40,64,./data/standardized_images/64.jpg,Quercus_Variabilis
41,66,./data/standardized_images/66.jpg,Quercus_Hartwissiana
42,67,./data/standardized_images/67.jpg,Quercus_Kewensis
43,69,./data/standardized_images/69.jpg,Quercus_Coccifera
44,71,./data/standardized_images/71.jpg,Cornus_Controversa
45,72,./data/standardized_images/72.jpg,Quercus_Pyrenaica
46,73,./data/standardized_images/73.jpg,Callicarpa_Bodinieri
47,75,./data/standardized_images/75.jpg,Quercus_Alnifolia
48,76,./data/standardized_images/76.jpg,Quercus_Canariensis
49,78,./data/standardized_images/78.jpg,Acer_Saccharinum
50,80,./data/standardized_images/80.jpg,Prunus_X_Shmittii
51,81,./data/standardized_images/81.jpg,Prunus_Avium
52,82,./data/standardized_images/82.jpg,Quercus_Greggii
53,83,./data/standardized_images/83.jpg,Quercus_Suber
54,84,./data/standardized_images/84.jpg,Quercus_Trojana
55,85,./data/standardized_images/85.jpg,Liriodendron_Tulipifera
56,87,./data/standardized_images/87.jpg,Quercus_Coccifera
57,88,./data/standardized_images/88.jpg,Cercis_Siliquastrum
58,92,./data/standardized_images/92.jpg,Quercus_Suber
59,100,./data/standardized_images/100.jpg,Celtis_Koraiensis
60,101,./data/standardized_images/101.jpg,Quercus_Dolicholepis
